Username,Forum Profile,Vendor Profile,Date Registered,Last Active,Signature,Personal Text,Custom Title,Location,Posts,Karma
NewFavoriteVendor,66118,a2803ec589,2013/04/25 14:06,2013/10/02 19:05,"Quality USA domestic psychedelics - 
http://silkroadvb5piz3r.onion/silkroad/user/a2803ec589",N/A,N/A,N/A,14 (0.084 per day),+1/-0
mrhendrix,77513,9fddd412b1,2013/07/03 09:33,2013/08/25 20:08,"Vendor Page : http://silkroadvb5piz3r.onion/silkroad/user/9fddd412b1

Vendor Review Thread: http://dkn255hz262ypmii.onion/index.php?topic=189113.0

Vendor Samples Thread (Go on Try one ;-)):
http://dkn255hz262ypmii.onion/index.php?topic=189119.0;topicseen",5* Vendor,N/A,N/A,70 (0.722 per day),+1/-2
Electrik,48769,N/A,2013/01/04 19:49,2013/09/27 17:02,"⚡⚡⚡⚡⚡⚡⚡⚡⚡⚡⚡⚡⚡⚡
Vendor page: silkroadvb5piz3r.onion/silkroad/user/c6127832a1",N/A,N/A,N/A,9 (0.032 per day),+1/-1
Haizenberg,50139,N/A,2013/01/13 05:52,N/A,"My vendor page : FIND ME ON BMR / SHEEP MARKET. CONTACT MAIL
flyingsaucer777@secure-mail.biz
In the end, we will remember not the words of our enemies,but the silence 
of our friends.
-martin luther king","Haizenberg,With an A!",N/A,N/A,265 (0.989 per day),+69/-20
uhrwerk,60705,2a1fca953b,2013/03/27 22:27,2013/10/03 07:07,"EU-Vendor page:
http://silkroadvb5piz3r.onion/silkroad/user/2a1fca953b
feedback thread :
http://dkn255hz262ypmii.onion/index.php?topic=142644

psychedelics, entheogens, stimulants, antidotes, chemicals and synthesis 
help",yep. tell me more about it...,N/A,in front of my pc,135 (0.692 per day),+23/-6
Natasha,18848,9372abfb60,2012/04/26 22:53,2013/07/13 13:58,Vendor Page: http://silkroadvb5piz3r.onion/silkroad/user/9372abfb60,N/A,N/A,N/A,13 (0.025 per day),+3/-0
Bungee54,17344,N/A,2012/04/13 20:38,N/A,"Offers -> silkroadvb5piz3r.onion/silkroad/user/12c290570e
Review/ Discussion Thread-> dkn255hz262ypmii.onion/index.php?topic=31665

Cocaine , MDMA, Speed, Weed , Hashish
Always check our first 3 posts for State of Operations",“Drugs are a bet with your mind.”,N/A,Cell 1337 / Bungee54@tormail.net,1094 (2.015 per day),+69/-28
Porn Star,80683,698fb63183,2013/07/21 04:44,2013/09/28 01:56,"Weed that's better than sex!!!
Strains available as of 09/02/2013 - Sour Willie, Hash Plant
Vendor Profile: http://silkroadvb5piz3r.onion/silkroad/user/698fb63183
Vendor Review thread: http://dkn255hz262ypmii.onion/index.php?topic=195319.0",Silk Road Vendor,N/A,N/A,114 (1.443 per day),+6/-3
Lucydrop,38370,af2431a628,2012/10/17 05:29,2013/03/07 10:25,"SR VENDOR PROFILE:
http://silkroadvb5piz3r.onion/index.php/silkroad/user/af2431a628

Review thread: dkn255hz262ypmii.onion/index.php?topic=59440.0",N/A,N/A,N/A,179 (0.503 per day),+53/-28
dmtdoodeelsd,7746,N/A,2011/12/26 14:20,2013/08/21 01:20,"Our children are born completely free. Everywhere, they are put in chains. 
We choose to grow adults who have fearful and chained minds, and who rarely 
if ever get to witness the full extent of consciousness and realize their 
true abilities.","1st Generation Silk Roader, message me anytime!",N/A,Pergatory,94 (0.144 per day),+7/-2
spacetime,93677,c620a92fb3,2013/09/10 17:38,2013/09/18 17:47,"Offering expansion of mind and wallet for all!
SpaceTime Lottery up and running:
http://silkroadvb5piz3r.onion/silkroad/item/428a3fb78b
Vendor URL:
http://silkroadvb5piz3r.onion/silkroad/user/c620a92fb3",Finest of Freaks,N/A,Raxicoricofallipatorious,1 (0.036 per day),+0/-0
phenbizz,23475,f8cf983cbe,2012/06/12 22:35,2013/10/01 00:15,"PHENBIZZ
Cocaine-60-70% no cuts showing on ez test.
My inventory has changed lately from just selling 2c's
http://silkroadvb5piz3r.onion/silkroad/user/f8cf983cbe
Official review thread:
http://dkn255hz262ypmii.onion/index.php?topic=137978.msg992176#msg992176",If it's to good to be true....,N/A,you can try to guess,117 (0.243 per day),+8/-2
MeanwhileinAustralia,36397,072cd13c33,2012/09/29 09:40,2013/10/07 02:56,http://silkroadvb5piz3r.onion/index.php/silkroad/user/072cd13c33,N/A,N/A,N/A,15 (0.040 per day),+2/-0
Unethical Nutrients,58093,a75e2830fe,2013/03/13 07:15,2013/10/03 06:09,"Unethical Nutrients
http://silkroadvb5piz3r.onion/silkroad/user/a75e2830fe",N/A,N/A,N/A,15 (0.072 per day),+1/-0
Ma5terCra5h,22289,N/A,2012/06/01 17:54,2013/05/14 00:14,"▒▐██▄▒▄██▌ ▄▀▄▒█▀▀ ▀█▀ █▀▀ █▀▀▄▒▐█▀█ █▀▀▄ ▄▀▄▒█▀▀ █░░
░▒█░▒█░▒█░ █▀█▒▀▀▄ ░█░ █▀▀ █▐█▀▒▐█░░ █▐█▀ █▀█▒▀▀▄ █▀▄
▒▐█░░░░▒█▌ ▀░▀▒▄▄▀ ░▀░ ▀▀▀ ▀░▀▀▒▐█▄█ ▀░▀▀ ▀░▀▒▄▄▀ ▀░▀
~ Ice, Buds, and Coke @ the LOWEST price w/ Free Shipping!
~ SR down? - Ma5terCra5h@tormail.net",ICE ICE BABY!,N/A,Pacific Northwest,167 (0.338 per day),+14/-9
Gaudete,75913,N/A,2013/06/22 12:25,N/A,N/A,N/A,N/A,N/A,51 (0.472 per day),+3/-1
DrMDA,63856,e2326546a7,2013/04/13 00:09,2013/10/02 14:06,"My SR vendor profile:
http://silkroadvb5piz3r.onion/silkroad/user/e2326546a7

My PGP key:
/index.php?topic=174.msg1378209#msg1378209

Reviews:
http://dkn255hz262ypmii.onion/index.php?topic=192847.0",N/A,N/A,N/A,461 (2.590 per day),+76/-66
Bigdeal100,33627,280bb9fd1b,2012/09/07 09:33,2013/09/25 19:45,http://silkroadvb5piz3r.onion/silkroad/user/280bb9fd1b,N/A,N/A,N/A,111 (0.280 per day),+4/-2
UGSyndicate,14103,8184c05ea4,2012/03/10 03:20,2013/10/07 15:54,"I'm always here if you need me. The Road Is My Happy Place



http://silkroadvb5piz3r.onion/index.php/silkroad/user/8184c05ea4",Top 1 % Of Sellers,N/A,USA,84 (0.146 per day),+11/-22
SilentBob,26933,8a075ac179,2012/07/15 22:21,2013/04/30 03:24,http://silkroadvb5piz3r.onion/silkroad/user/8a075ac179,quality dutch MDMA,N/A,USA,77 (0.171 per day),+11/-4
WalMart,23185,0b3b647d93,2012/06/10 06:20,2013/09/04 01:00,"WalMart - Always Low Prices!

http://silkroadvb5piz3r.onion/silkroad/user/0b3b647d93

Walmart Wiki - http://37otxza6ovc3nq3c.onion",Alway's Low Prices!,N/A,N/A,75 (0.155 per day),+8/-10
j1m1th1ng,44553,122a01f06e,2012/12/01 12:41,2013/10/04 05:08,"http://silkroadvb5piz3r.onion/silkroad/user/122a01f06e
^vendor page
http://dkn255hz262ypmii.onion/index.php?topic=123332.0
^Forum Thread for review and feedback

THE BEST domestic MDPV and other fine goods",SR Vendor,N/A,usa,127 (0.408 per day),+8/-6
opi,13377,c662375e77,2012/03/03 02:57,2013/09/03 21:23,"Vendor Profile - http://silkroadvb5piz3r.onion/silkroad/user/c662375e77

#4 Pebbles-SR FINEST H in 1/4G, 1/2G, 1G & 3G listings
SHOOTER PACKS AVAILABLE(3SYRINGES &WORKS), STERILE 0.2MICRON FILTERS, 
SINGLE STERILE SYRINGES 31ga1/3cc, 29ga1cc, 28ga1/2-1cc 1/2"", 3 mL syringes 
w/ 27 ga1/2"" luer-lok ends",im just tryna get ya high,N/A,N/A,910 (1.558 per day),+37/-72
HighStandards,81245,bc58610c91,2013/07/25 03:39,2013/09/11 02:41,"""You cant hack a typewriter.""
Vendor Page - http://silkroadvb5piz3r.onion/silkroad/user/bc58610c91  Vendor 
Review- dkn255hz262ypmii.onion/index.php?topic=199127.0",N/A,N/A,Riiiiggght BEHIND YOU!!!,86 (1.147 per day),+6/-1
Frylexa,65637,N/A,2013/04/23 19:30,2013/10/05 16:42,"get your adderall here!
vendor page: silkroadvb5piz3r.onion/silkroad/user/ec7fc146ae

sheep url: 
http://sheep5u64fi457aw.onion/account/profile/1fc1b2904539d8db0b10382da5856fa9

pgp key: http://pastebin.com/9FfvtyZE (our old one is still accepted as 
well, please mention that when using it!)",still speedin',N/A,relaxation :),65 (0.387 per day),+3/-0
SynthesisWizard,82910,ec58f1444d,2013/08/03 19:51,2013/10/05 20:48,"Link to Vendor Page  - 
http://silkroadvb5piz3r.onion/silkroad/user/ec58f1444d

Vendor Review and trip report thread - 
http://dkn255hz262ypmii.onion/index.php?topic=201045.0",N/A,N/A,N/A,181 (2.742 per day),+23/-4
LionwareTradingCo,54212,0cd93842dc,2013/02/08 18:37,2013/08/18 01:48,"Iron Lion Zion ~
Vendor SR Site: Lionware Trading Company
http://silkroadvb5piz3r.onion/silkroad/user/0cd93842dc
Discussion and Review Thread
http://dkn255hz262ypmii.onion/index.php?topic=119540.75",N/A,N/A,Hollow Earth,304 (1.256 per day),+27/-4
islandinthesun,13674,N/A,2012/03/06 04:10,2013/04/30 09:14,N/A,N/A,N/A,N/A,12 (0.021 per day),+2/-1
larghetto,2594,a51b9c41ce,2011/08/28 15:28,2013/10/07 15:03,"2C-E, MDPV, 4-AcO-DMT, MXE and more...     100g MXE - $900
http://silkroadvb5piz3r.onion/silkroad/user/a51b9c41ce

We PROMISE 95%+ Purity.
We'll pay the test to check it if we're lying...

Stats don't lie...
member for over 1 year...ranked in the top 8% of sellers with 98.8% 
positive feedback",Public Enemy No.1,N/A,N/A,187 (0.242 per day),+7/-34
peels4u,31364,37f8d19139,2012/08/19 17:24,2013/05/18 00:06,"SR Vendor Account:
http://silkroadvb5piz3r.onion/index.php/silkroad/user/37f8d19139",N/A,N/A,N/A,137 (0.330 per day),+6/-3
suboxone,43711,3c480352e6,2012/11/25 04:56,2013/08/22 04:26,Seller Profile: http://silkroadvb5piz3r.onion/silkroad/user/3c480352e6,N/A,N/A,None of your fucking business,1 (0.003 per day),+0/-0
Goldust,35853,N/A,2012/09/25 10:47,2013/10/05 08:39,"We sell extremely high purity MDMA in bulk!

Vendor Account - silkroadvb5piz3r.onion/index.php/silkroad/user/cff5ec83b8
PGP Public Key - 
http://dkn255hz262ypmii.onion/index.php?topic=174.msg599363#msg599363
Email - goldust@tormail.org",N/A,N/A,United Kingdom,80 (0.212 per day),+9/-4
mushitup,8297,N/A,2012/01/07 00:11,N/A,"Wacky Waving Inflatable Arm-Flailing Tubeman!
torchat:  dtlvc4dshzvuent4",N/A,N/A,All around,355 (0.555 per day),+16/-7
pPharm,36250,22b4ea91f8,2012/09/28 02:12,2013/05/04 21:10,"http://silkroadvb5piz3r.onion/index.php/silkroad/user/22b4ea91f8
pPharm@tormail.org

Review Thread:
http://dkn255hz262ypmii.onion/index.php?topic=55215",N/A,N/A,N/A,145 (0.387 per day),+12/-4
WhiteShark,54823,d9819292a9,2013/02/13 05:07,2013/10/05 23:38,"Vendor Page: http://silkroadvb5piz3r.onion/silkroad/user/d9819292a9

Review Thread: http://dkn255hz262ypmii.onion/index.php?topic=67348.30

whiteshark@Safe-mail.net",Check me out,N/A,N/A,630 (2.658 per day),+73/-31
Stealth RX,28049,628050f046,2012/07/24 18:26,2013/07/17 07:22,"Stealth RX

http://silkroadvb5piz3r.onion/silkroad/user/628050f046",N/A,N/A,N/A,52 (0.118 per day),+4/-2
PILL CITY,38162,c19652d9a2,2012/10/15 10:21,N/A,"$9.99 NORCO   (Free Priority)
http://silkroadvb5piz3r.onion/silkroad/item/4b1ec2a85f

PGP KEY
http://dkn255hz262ypmii.onion/index.php?topic=174.msg627487#msg627487

OUR VENDOR PAGE
http://silkroadvb5piz3r.onion/silkroad/user/c19652d9a2",OPIATES are the opiates of the masses...,N/A,N/A,52 (0.145 per day),+0/-0
germanhqpharm,69366,b065bcf213,2013/05/10 12:50,2013/08/17 23:40,"Vendor page: http://silkroadvb5piz3r.onion/silkroad/user/b065bcf213
---
Review Thread: http://dkn255hz262ypmii.onion/index.php?topic=135668.0
---
Come and save our HighQuality pharms direct from germany!",N/A,N/A,N/A,56 (0.371 per day),+1/-0
Cher,76325,N/A,2013/06/25 15:36,2013/10/06 13:04,"we are legion!

I AM DPR!",LSD & MDMA Vendor,N/A,Spain,254 (2.419 per day),+53/-14
HughBerto,6629,0a3d8ab971,2011/12/07 09:40,2013/10/05 06:02,"Vendor Profile - http://silkroadvb5piz3r.onion/silkroad/user/0a3d8ab971
Review Thread - http://dkn255hz262ypmii.onion/index.php?topic=108840.0",N/A,N/A,N/A,70 (0.104 per day),+7/-1
fyg,32767,072aea8801,2012/08/31 00:48,2013/01/08 21:23,"My SilkRoad Profile: 
http://silkroadvb5piz3r.onion/index.php/silkroad/user/072aea8801

~*~*~*~*~*~PROUD MEMBER OF THE JAMAICAN BOBSLED TEAM~*~*~*~*~*~",N/A,N/A,N/A,105 (0.261 per day),+4/-1
brownpurple31,8429,772fe942fe,2012/01/09 05:27,2012/04/01 15:36,http://silkroadvb5piz3r.onion/silkroad/user/772fe942fe,N/A,N/A,N/A,22 (0.034 per day),+1/-1
Sainsburys,56184,b42ce8bba4,2013/02/23 14:43,2013/09/25 13:07,Sainsburys - http://silkroadvb5piz3r.onion/silkroad/user/b42ce8bba4,N/A,N/A,N/A,87 (0.383 per day),+4/-2
Yama Dass,42244,7a1c681563,2012/11/15 06:56,2013/10/03 08:23,"Jump. You might fall. You might fly.

SR Vendor Page: http://silkroadvb5piz3r.onion/silkroad/user/7a1c681563

BMR Vendor Page: 
http://5onwnspjvuk7cwvk.onion/index.php?p=viewUserListings&id=124562",N/A,N/A,N/A,56 (0.171 per day),+2/-0
CharasBros,14191,75e4a8b1a1,2012/03/11 03:40,2013/09/17 20:10,"Charas hash || Opium afin ||  Ketamine
http://silkroadvb5piz3r.onion/silkroad/user/75e4a8b1a1",N/A,N/A,N/A,331 (0.575 per day),+12/-13
The Backbone,69197,N/A,2013/05/09 12:33,N/A,"Find me @ Sheep Marketplace  for now.  My public key can be found on my 
profile there. 
http://sheep5u64fi457aw.onion/account/profile/f0854e06946297405432f8822cbcbbba",N/A,N/A,N/A,31 (0.204 per day),+5/-5
omnibionta,14498,18dae727e9,2012/03/14 09:57,2013/09/05 02:40,"--
Our SR profile page:

http://silkroadvb5piz3r.onion/silkroad/user/18dae727e9",El que busca la verdad corre el riesgo de encontra,N/A,The Republic of Lalaland,8 (0.014 per day),+0/-0
MagneticFreeze,65887,ac8fe59ccf,2013/04/24 18:30,2013/10/02 16:07,"Magnetic = Going to bring you back again and again
Freeze = You shiver off of my ICE and Glass


Vendor Page - http://silkroadvb5piz3r.onion/silkroad/user/ac8fe59ccf","""Quez"" by Trinidad James & ""Witit"" D Brown",N/A,UK,108 (0.647 per day),+1/-7
PrivateReserve,58626,75134325c7,2013/03/16 12:29,2013/10/06 05:29,http://silkroadvb5piz3r.onion/silkroad/user/75134325c7,N/A,N/A,N/A,70 (0.340 per day),+6/-1
panoramic,78659,d902c2da47,2013/07/11 18:42,N/A,"Vendor Profile: http://silkroadvb5piz3r.onion/silkroad/user/d902c2da47
Discussion & Reviews: http://dkn255hz262ypmii.onion/index.php?topic=187950
Public PGP Key: 
http://dkn255hz262ypmii.onion/index.php?topic=174.msg1359510#msg1359510

torchat: 5tgeabqmsloenn44",N/A,N/A,N/A,53 (0.596 per day),+0/-0
TheRX,16450,N/A,2012/04/04 07:46,2013/05/22 22:51,N/A,N/A,N/A,N/A,62 (0.112 per day),+1/-4
MiddleEarth,55770,9bbad84ecb,2013/02/20 09:08,2013/08/22 07:25,Vendor page: http://silkroadvb5piz3r.onion/silkroad/user/9bbad84ecb,N/A,N/A,N/A,2 (0.009 per day),+1/-0
10toes,26467,2d84920d16,2012/07/11 19:44,2013/08/18 23:43,http://silkroadvb5piz3r.onion/index.php/silkroad/user/2d84920d16,N/A,N/A,N/A,35 (0.077 per day),+16/-10
bitdoctor,76926,d59777d76a,2013/06/29 08:36,2013/09/23 08:22,Vendor profile - http://silkroadvb5piz3r.onion/silkroad/user/d59777d76a,N/A,N/A,N/A,29 (0.287 per day),+2/-0
RoxiPal,43825,be392bd69b,2012/11/26 04:05,2013/09/21 07:56,"~RoxiPal~

SR Vendor Page ~~ http://silkroadvb5piz3r.onion/silkroad/user/be392bd69b
SR Forum Review Thread ~~ 
http://dkn255hz262ypmii.onion/index.php?topic=92973.0",Your Best Pal,N/A,N/A,157 (0.497 per day),+27/-20
sildenafil,14695,N/A,2012/03/16 20:19,N/A,"SILK ROAD BACKUP FORUM:
http://6zyze2mkwyla7jwe.onion/silkroad/backup/index.php

PGP-key on request",SELLER of FDA approved PHARMACY PRODUCTS,N/A,N/A,132 (0.231 per day),+16/-6
Canjam420,37513,8d9938c09c,2012/10/09 12:54,2013/09/19 11:19,"""  Life is tough, but it's tougher if you're stupid. "" - John Wayne

Vendor page:
http://silkroadvb5piz3r.onion/silkroad/user/8d9938c09c",N/A,N/A,N/A,11 (0.030 per day),+0/-0
awakened350,19989,365afd425b,2012/05/07 20:07,2013/05/27 18:21,"MXE  6-APB and 5-meo-mipt
http://silkroadvb5piz3r.onion/index.php/silkroad/user/365afd425b",N/A,N/A,N/A,255 (0.491 per day),+16/-2
SweetLeafLondon,14332,N/A,2012/03/12 17:43,N/A,SweetLeafLondon: NOW OPERATING IN STEALTH/PRIVATE,N/A,N/A,N/A,71 (0.123 per day),+8/-2
PolarExpress,69027,N/A,2013/05/08 12:48,N/A,"- PolarExpress - Polar_Express@safe-mail.net
RIP SR",ALL ABORD!,N/A,N/A,8 (0.052 per day),+1/-2
Variety Jones,801,d86941481c,2011/06/27 18:34,2013/10/05 03:28,http://silkroadvb5piz3r.onion/silkroad/user/d86941481c,Advisor,N/A,N/A,301 (0.361 per day),+4/-1
GreenGiant,2822,N/A,2011/09/04 17:16,2013/10/06 23:48,N/A,N/A,N/A,N/A,442 (0.578 per day),+22/-9
technohippy,61775,031a27a119,2013/04/03 12:41,2013/09/19 09:00,http://silkroadvb5piz3r.onion/silkroad/user/031a27a119,The magic is in the substance!,N/A,UK,143 (0.761 per day),+17/-1
Phos4Loxy,14730,e4f3c702ef,2012/03/17 06:35,2013/04/27 02:42,"Vendor Page:
http://silkroadvb5piz3r.onion/silkroad/user/e4f3c702ef

GPG Key:
http://dkn255hz262ypmii.onion/index.php?topic=174.msg599302#msg599302

Vendor Thread:
http://dkn255hz262ypmii.onion/index.php?topic=47300.0",This is my BOOMSTICK! Let's grow boomers bitches:),N/A,"Middle, US",29 (0.051 per day),+2/-0
sbraser,52991,07dd677c54,2013/01/31 01:53,N/A,http://silkroadvb5piz3r.onion/silkroad/user/07dd677c54,N/A,N/A,N/A,21 (0.084 per day),+0/-2
BlazinBro,75978,d9f19cb48a,2013/06/23 03:06,2013/10/04 08:48,SR Vendor Profile: http://silkroadvb5piz3r.onion/silkroad/user/d9f19cb48a,N/A,N/A,N/A,69 (0.645 per day),+1/-3
dfeinstein,66261,N/A,2013/04/26 03:37,2013/08/28 19:55,"vendor page silkroadvb5piz3r.onion/silkroad/user/5e62458bcb

review thread 
http://dkn255hz262ypmii.onion/index.php?topic=152276.msg1055458",N/A,N/A,N/A,66 (0.400 per day),+2/-3
OZHigh,81484,7577d6da45,2013/07/26 11:08,2013/08/07 11:16,"OZHigh
Silk Road Vendor

http://silkroadvb5piz3r.onion/silkroad/user/7577d6da45",N/A,N/A,N/A,0 (0 per day),+0/-0
psilocin,3303,N/A,2011/09/19 00:48,N/A,"H vendor from EU
Optimism and Professionalism are only two isms I comply by.",Good Spirit,N/A,EU,74 (0.099 per day),+6/-1
K Queen,59365,3cbe650095,2013/03/21 13:04,2013/09/19 07:59,Vendor profile - http://silkroadvb5piz3r.onion/silkroad/user/3cbe650095,N/A,N/A,N/A,140 (0.697 per day),+11/-7
CoinXchange,57351,N/A,2013/03/04 07:54,2013/10/03 23:54,"Sheep Profile
http://sheep5u64fi457aw.onion/account/profile/5313ce6f7e7b17b670c473873c15b253",N/A,N/A,N/A,58 (0.266 per day),+1/-1
Empathy101,44438,15acab3cbe,2012/11/30 12:51,2013/10/04 04:38,Brown Sugar MDMA: http://silkroadvb5piz3r.onion/silkroad/user/15acab3cbe,I love this place!,N/A,N/A,219 (0.702 per day),+32/-12
XXXotica,49556,1610b34961,2013/01/09 17:41,2013/09/20 16:16,"SR XXXOTIC MARIJUANA VENDOR.


Vendor Page: http://silkroadvb5piz3r.onion/silkroad/user/1610b34961

Review Thread: http://dkn255hz262ypmii.onion/index.php?topic=103388.0",Top Shelf done right.,N/A,N/A,482 (1.772 per day),+158/-17
re1oad,28952,0c29b3f915,2012/08/01 21:12,2013/10/04 09:12,Re1oads Store :http://silkroadvb5piz3r.onion/silkroad/user/0c29b3f915,N/A,N/A,N/A,4 (0.009 per day),+0/-0
ChrisHash,62870,8e0f635ee5,2013/04/08 12:55,2013/09/30 06:59,"Swedish vendor selling top quality hash from Christiania. Domestic ONLY.

Vendor page: http://silkroadvb5piz3r.onion/silkroad/user/8e0f635ee5",N/A,N/A,N/A,63 (0.344 per day),+0/-1
sunshine,1622,66e0702d58,2013/07/24 23:00,2013/10/06 08:54,http://silkroadvb5piz3r.onion/silkroad/user/66e0702d58 -Sunshine,N/A,N/A,N/A,10 (0.133 per day),+1/-3
project 4,31215,ba1d3bc2d3,2012/08/18 11:11,2013/10/06 18:26,"“Drugs are reality's legal loopholes.”

Project 4 Vendor 
Page:-http://silkroadvb5piz3r.onion/silkroad/user/ba1d3bc2d3

Project4@tormail.org",N/A,N/A,uk,40 (0.096 per day),+1/-2
lexq,32730,e0d89af6fb,2012/08/30 18:17,2013/09/19 00:32,"Don't steal, the government hates competition.
- Ron Paul

Vendor Page
http://silkroadvb5piz3r.onion/index.php/silkroad/user/e0d89af6fb",N/A,N/A,N/A,41 (0.101 per day),+9/-1
AmericanPsycho,39478,6bd48492ef,2012/10/25 16:49,2013/09/23 21:12,"Quality benzos, opiates, and other assorted goodies
Vendor Profile:  http://silkroadvb5piz3r.onion/silkroad/user/6bd48492ef
Review Thread:  http://dkn255hz262ypmii.onion/index.php?topic=96482.0
PGP Key:  
http://dkn255hz262ypmii.onion/index.php?topic=174.msg684633#msg684633",I want to fit in.,N/A,N/A,8 (0.023 per day),+3/-1
felidae,30229,6701012ae5,2012/08/11 03:07,2013/10/02 21:26,"Vendor profile: 
http://silkroadvb5piz3r.onion/index.php/silkroad/user/6701012ae5
Quality buds!",Tiger style... TIGER STYLE,N/A,N/A,79 (0.187 per day),+6/-1
La Fuente,40983,N/A,2012/11/07 12:50,2013/05/06 10:19,SR Vendor Profile: silkroadvb5piz3r.onion/silkroad/user/92626d1a47,Top 5% SR Vendor,N/A,N/A,31 (0.093 per day),+5/-44
Zen Garden,75956,f671209e5d,2013/06/22 21:35,2013/10/06 15:45,"SR vendor page: http://silkroadvb5piz3r.onion/silkroad/user/f671209e5d

SR forum review thread: 
http://dkn255hz262ypmii.onion/index.php?topic=178397.0

~~~ We all began as something else ~~~",~ Enlightened ~,N/A,N/A,144 (1.333 per day),+71/-5
globalshipping,22582,d842b8827e,2012/06/04 10:00,N/A,"SILKROAD SHOP: http://silkroadvb5piz3r.onion/silkroad/user/d842b8827e

REVIEW THREAD: http://dkn255hz262ypmii.onion/index.php?topic=31695.0",HASH VENDOR,N/A,N/A,35 (0.071 per day),+4/-1
cindylove,298,N/A,2011/06/19 08:34,2013/09/28 08:05,"""It [The Silk Road] is meant to grow into a force to be reckoned with that 
can challenge the powers that be and at last give people the option to 
choose freedom over tyranny.""",N/A,N/A,N/A,294 (0.349 per day),+4/-10
thedman62,9613,8c029c84ea,2012/01/26 00:11,2012/06/05 14:56,"Vendor Profile Page: 
http://silkroadvb5piz3r.onion/silkroad/user/8c029c84ea",N/A,N/A,N/A,201 (0.324 per day),+4/-4
malinov,39473,N/A,2012/10/25 16:27,2013/10/03 06:05,N/A,N/A,N/A,N/A,52 (0.149 per day),+14/-11
Nod4Less,57938,N/A,2013/03/12 19:08,2013/06/02 00:37,"NOD4LESS TORCHAT ID:  geltywsfyd6fep2l -- PLEASE COME & INSTANT MESSAGE 
ME!!  NEXT LEVEL SHIT

POWERNOD LOTTERY SYSTEMS FORUM THREAD - 
http://dkn255hz262ypmii.onion/index.php?topic=157025.0

Nod4Less Vendor Page URL -- silkroadvb5piz3r.onion/silkroad/user/40a9413211","If she like it, I love it...",N/A,N/A,398 (1.895 per day),+27/-23
Canamo,17064,79d224b66b,2012/04/11 09:29,2013/10/05 03:07,"Weed and Hash - http://silkroadvb5piz3r.onion/silkroad/user/79d224b66b

Review's - http://dkn255hz262ypmii.onion/index.php?topic=19509.0",N/A,N/A,N/A,83 (0.152 per day),+6/-4
PhilipJFry,26569,d15039908f,2012/07/12 12:26,N/A,http://silkroadvb5piz3r.onion/index.php/silkroad/user/d15039908f,N/A,N/A,N/A,62 (0.137 per day),+4/-1
eudaimonia,80697,b630eaf912,2013/07/21 06:24,N/A,http://silkroadvb5piz3r.onion/silkroad/user/b630eaf912,N/A,N/A,UK,52 (0.658 per day),+0/-0
Ivory,526,f16bbdb655,2011/06/21 15:32,2013/09/29 19:34,"Vendor of many fine psychedelics, Ivory: 
http://silkroadvb5piz3r.onion/silkroad/user/f16bbdb655",IvoryUK =],N/A,N/A,86 (0.102 per day),+17/-12
Nod with the bitchin tar,23667,38e50f44b6,2012/06/14 16:35,2013/10/04 02:45,"Ultra fast shipping - 100% customer satisfaction - Amazingly good in bed.  
Choose nod!

http://silkroadvb5piz3r.onion/index.php/silkroad/user/38e50f44b6

If you'd care to do me a favor please become a fan, I am testing to see if 
this affects seller rank.",N/A,N/A,N/A,205 (0.426 per day),+34/-39
PlutoPete,11149,32fb08c984,2012/02/08 10:51,N/A,"http://silkroadvb5piz3r.onion/index.php/silkroad/user/32fb08c984
plutopete@msn.com

The best packaging solution by far
http://silkroadvb5piz3r.onion/silkroad/item/3e10560aef",My Body Is Not A Temple-It's An Amusement Park,N/A,3rd star to the left,986 (1.622 per day),+88/-11
Rainbow Snail,52005,43badb56eb,2013/01/24 13:06,2013/10/01 04:17,"Vendor account - http://silkroadvb5piz3r.onion/silkroad/user/43badb56eb
Review and Discussion thread - 
http://dkn255hz262ypmii.onion/index.php?topic=112055.0

""A mind once stretched by a new idea can never return to it's original 
dimensions.""",N/A,N/A,Australia,92 (0.358 per day),+4/-3
AliceInHolland,32652,N/A,2012/08/29 22:49,N/A,"Dear customers,
I will continue to operate my business on Sheep Market and/or Black Market 
Reloaded.
http://sheep5u64fi457aw.onion/account/profile/361f97b7a72eef7dc56efe03a5af8f98
I am hoping to be operational again in about a week.
Best of luck,
AliceInHolland",--- ♦ ♥ ♠ ♣ ---,N/A,N/A,4 (0.010 per day),+10/-17
TheJolllyRoger,31897,c59019af37,2012/08/24 02:06,N/A,"Irish Vendor with the largest quantity of product :Weed, Hash of all sorts, 
Speed, Ketamine. MDMA, Seed/Meth pills, multiple benzos,sleepers,  LSD, 
2C-i, 4-ACO-Dmt etc.... 

Vendor page: 
http://silkroadvb5piz3r.onion/index.php/silkroad/user/c59019af37

Death to Scammers!",¡No Pasarán!,N/A,Saor Éire,289 (0.705 per day),+85/-12
Winta is coming,32294,6a3cefb9cf,2012/08/27 11:09,2013/03/04 08:14,http://silkroadvb5piz3r.onion/index.php/silkroad/user/6a3cefb9cf,N/A,N/A,N/A,62 (0.152 per day),+4/-19
golden horse,60759,21f81b8be3,2013/03/28 04:18,2013/10/05 06:04,"http://silkroadvb5piz3r.onion/silkroad/user/21f81b8be3

goldenhorse@safe-mail.net",N/A,N/A,N/A,87 (0.448 per day),+2/-4
